,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Turkey,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Turkmenistan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Uganda,79.124 114 ,74.784 889 , 88.421 435,,60.945 012 ,57.602 743 , 68.106 234,,... ,... , ...,,81.701 969 ,77.352 333 , 91.536 248,,66.991 351 ,63.424 877 , 75.054 946,,89.303 105 ,84.548 801 , 100.052 315,,83.96 733 ,79.226 882 , 93.331 083,,77.17 521 ,72.818 217 , 85.781 528,,88.100 064 ,83.126 299 , 97.924 685,,85.555 533 ,80.554 906 , 94.819 697,,77.923 144 ,73.368 621 , 86.360 854,,87.800 084 ,82.668 265 , 97.307 293,,86.982 542 ,81.564 457 , 96.004 362,,94.46 969 ,88.585 236 , 104.268 076,,89.041 003 ,83.494 698 , 98.276 327,,88.630 096 ,82.880 608 , 97.92 965,,97.367 542 ,91.051 251 , 107.583 877,,89.167 355 ,83.383 015 , 98.523 281,
Ukraine,65.081 032 ,53.039 479 , 81.045 287,,43.255 707 ,35.252 363 , 53.866 251,,88.315 975 ,71.975 399 , 109.979 718,,67.384 747 ,54.855 967 , 83.613 685,,56.94 543 ,46.357 622 , 70.660 164,,85.563 434 ,69.654 708 , 106.170 526,,70.623 141 ,57.457 707 , 87.503 844,,61.003 927 ,49.631 689 , 75.585 397,,86.997 138 ,70.779 294 , 107.791 637,,70.338 248 ,57.095 269 , 87.78 555,,70.686 022 ,57.377 566 , 88.219 589,,92.617 332 ,75.179 744 , 115.590 929,,68.872 708 ,55.944 614 , 86.729 303,,78.018 191 ,63.373 399 , 98.245 931,,94.657 519 ,76.889 359 , 119.19 933,,69.555 191 ,56.552 047 , 87.384 037,,80.846 845 ,65.732 759 , 101.570 042,,93.009 713 ,75.621 813 , 116.850 577,
United Arab Emirates,83.041 475 ,61.994 097 , 102.175 455,,72.142 064 ,53.857 209 , 88.764 659,,... ,... , ...,,83.202 381 ,62.401 786 , 100.701 294,,68.679 353 ,51.509 515 , 83.12 382,,... ,... , ...,,83.628 866 ,64.948 879 , 100.297 162,,61.637 081 ,47.869 348 , 73.922 135,,... ,... , ...,,83.904 478 ,66.372 199 , 99.433 068,,51.230 966 ,40.525 988 , 60.712 518,,... ,... , ...,,84.224 543 ,68.391 209 , 98.738 433,,51.770 104 ,42.037 865 , 60.691 323,,... ,... , ...,,84.829 885 ,70.594 065 , 99.84 575,,95.390 369 ,79.38 233 , 112.275 561,,... ,... , ...,
United Kingdom,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
United Republic of Tanzania,61.506 508 ,57.711 046 , 68.667 345,,61.236 944 ,57.458 117 , 68.366 397,,... ,... , ...,,67.329 226 ,63.275 686 , 75.184 038,,63.456 464 ,59.636 082 , 70.859 469,,... ,... , ...,,73.300 048 ,69.026 922 , 81.965 772,,65.837 482 ,61.999 397 , 73.620 962,,... ,... , ...,,77.763 643 ,73.267 302 , 86.966 708,,71.466 406 ,67.334 175 , 79.924 214,,88.316 432 ,83.209 923 , 98.768 384,,80.089 757 ,75.273 369 , 89.684 736,,82.690 123 ,77.717 356 , 92.596 634,,91.909 115 ,86.381 942 , 102.920 087,,81.76 336 ,76.642 808 , 91.608 936,,90.16 546 ,84.518 714 , 101.022 779,,... ,... , ...,
United States,84.044 035 ,71.377 849 , 96.150 838,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",84.499 379 ,71.674 963 , 97.02 548,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",85.066 717 ,72.097 912 , 98.128 551,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",85.448 024 ,72.392 184 , 98.799 413,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",85.661 918 ,72.338 203 , 99.026 483,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Uruguay,... ,... , ...,,... ,... , ...,,50 ,40.569 534 , 61.137 117,,... ,... , ...,,... ,... , ...,,71.445 582 ,57.816 004 , 87.521 835,,... ,... , ...,,... ,... , ...,,75.221 239 ,60.47 119 , 92.378 368,,... ,... , ...,,... ,... , ...,,72.720 126 ,58.527 513 , 89.981 412,,... ,... , ...,,... ,... , ...,,81.159 136 ,65.088 938 , 100.713 639,,... ,... , ...,,... ,... , ...,,97.360 545 ,77.56 202 , 120.789 308,
Uzbekistan,56.532 342 ,49.122 498 , 61.990 154,,29.526 157 ,25.656 085 , 32.376 706,,... ,... , ...,,57.632 907 ,50.576 537 , 64.496 094,,36.872 469 ,32.357 934 , 41.263 409,,... ,... , ...,,58.843 549 ,51.954 888 , 67.079 255,,46.522 602 ,41.076 322 , 53.033 876,,... ,... , ...,,60.179 453 ,53.672 784 , 69.938 492,,56.036 562 ,49.977 827 , 65.123 766,,... ,... , ...,,61.683 759 ,55.087 666 , 73.251 942,,55.685 146 ,49.730 509 , 66.128 348,,... ,... , ...,,63.65 359 ,56.878 323 , 77.043 931,,64.603 005 ,57.726 682 , 78.193 067,,... ,... , ...,
Venezuela (Bolivarian Republic of),... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,51.400 329 ,45.457 008 , 57.554 133,,70.203 951 ,61.89 829 , 78.510 735,,42.016 041 ,37.045 224 , 46.98 753,,... ,... , ...,,75.815 033 ,66.755 177 , 84.93 646,,70.441 379 ,62.023 672 , 78.916 294,,... ,... , ...,,81.07 538 ,71.165 066 , 90.510 672,,85.346 465 ,74.914 072 , 95.278 812,,80 ,70.221 136 , 89.310 143,
Viet Nam,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,95.000 381 ,86.462 942 , 103.513 889,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Yemen,29.455 815 ,26.744 909 , 31.38 447,,62.87 744 ,57.090 643 , 66.994 415,,... ,... , ...,,30.576 793 ,27.923 864 , 32.626 489,,70.973 158 ,64.815 326 , 75.730 799,,... ,... , ...,,31.613 265 ,28.863 203 , 33.70 381,,74.022 425 ,67.583 159 , 78.917 433,,... ,... , ...,,32.618 368 ,29.891 219 , 34.754 734,,77.34 503 ,70.878 386 , 82.410 804,,... ,... , ...,,33.57 267 ,30.809 746 , 35.76 928,,80.542 839 ,73.91 442 , 85.812 638,,... ,... , ...,,34.462 345 ,31.71 368 , 36.712 746,,80.634 007 ,74.20 276 , 85.899 431,,... ,... , ...,
Zambia,72.171 404 ,67.908 316 , 79.112 904,,82.306 622 ,77.444 858 , 90.222 935,,... ,... , ...,,75.267 203 ,70.868 371 , 82.616 611,,80.745 548 ,76.026 546 , 88.629 885,,... ,... , ...,,78.820 819 ,74.227 661 , 86.538 549,,77.630 423 ,73.106 633 , 85.231 596,,... ,... , ...,,81.693 106 ,76.916 943 , 90.175 731,,82.962 294 ,78.111 928 , 91.576 705,,... ,... , ...,,83.404 135 ,78.27 246 , 92.012 614,,87.602 276 ,82.212 299 , 96.644 062,,90.172 455 ,84.62 434 , 99.47 952,,84.639 214 ,78.952 475 , 94.356 322,,95.001 434 ,88.618 478 , 105.90 819,,93.518 365 ,87.235 054 , 104.254 855,
Zimbabwe,63.841 416 ,58.008 997 , 70.393 746,,95.012 662 ,86.332 502 , 104.764 236,,... ,... , ...,,69.40 241 ,63.06 198 , 76.525 526,,94.074 643 ,85.480 219 , 103.729 993,,... ,... , ...,,77.344 144 ,70.278 085 , 85.282 248,,100 ,89.101 072 , 108.123 888,,... ,... , ...,,79.264 709 ,72.023 352 , 87.400 125,,87.773 682 ,79.754 974 , 96.782 425,,... ,... , ...,,86.809 042 ,78.878 322 , 95.71 861,,100 ,90.453 694 , 109.76 529,,85.751 603 ,77.917 489 , 94.552 642,,92.305 509 ,83.872 774 , 101.779 363,,100 ,90.504 777 , 109.827 279,,88.177 097 ,80.12 152 , 97.227 228,
Global,67.265 977 ,53.693 479,81.245 817,,66.232 334 ,45.308 217,80.849 324,,84.093 109 ,57.526 416,100,,70.520 058 ,56.28 727,85.170 589,,69.611 649 ,47.783 493,84.945 721,,86.385 523 ,59.297 576,100,,73.996 231 ,59.057 004,89.361 588,,73.284 352 ,53.207 665,89.395 756,,84.922 037 ,61.657 136,100,,76.687 752 ,61.199 692,92.603 778,,75.1 476 ,56.551 439,91.635 537,,88.107 975 ,66.304 616,100,,79.335 824 ,63.306 805,95.792 137,,79.631 012 ,61.254 829,97.066 774,,89.304 229 ,68.69 579,100,,81.627 237 ,65.127 713,100,,83.278 916 ,64.053 495,100,,90.836 601 ,69.866 444,100,
